사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
Sep-20,1호선,1,서울역,724320,711203,137054,128369
Sep-20,1호선,10,동묘앞,106120,112366,123144,123667
Sep-20,1호선,2,시청,376545,376445,50389,47503
Sep-20,1호선,3,종각,600944,591275,95352,89734
Sep-20,1호선,4,종로3가,316661,287846,226692,213457
Sep-20,1호선,5,종로5가,295041,301544,198655,190007
Sep-20,1호선,6,동대문,184244,184462,94355,95369
Sep-20,1호선,7,신설동,226849,227364,92148,88012
Sep-20,1호선,8,제기동,202713,199630,246990,268967
Sep-20,1호선,9,청량리(서울시립대입구),278851,272423,242323,252268
Sep-20,2호선,11,시청,431147,424000,35332,31482
Sep-20,2호선,12,을지로입구,727392,745838,69868,65576
Sep-20,2호선,13,을지로3가,363805,362930,52539,51274
Sep-20,2호선,14,을지로4가,207153,206706,75846,73774
Sep-20,2호선,15,동대문역사문화공원(DDP),227270,257432,37587,39523
Sep-20,2호선,16,신당,246284,250421,75735,77857
Sep-20,2호선,17,상왕십리,260078,248579,47392,47816
Sep-20,2호선,18,왕십리(성동구청),315491,257021,37939,32287
Sep-20,2호선,19,한양대,144842,154060,10034,10448
Sep-20,2호선,20,뚝섬,392526,425793,43207,44047
Sep-20,2호선,21,성수,623188,695933,77881,79334
Sep-20,2호선,22,건대입구,685525,746414,65132,67688
Sep-20,2호선,23,구의(광진구청),448296,433768,74006,75494
Sep-20,2호선,24,강변(동서울터미널),611091,625203,81944,80915
Sep-20,2호선,25,잠실나루,246940,237997,56207,56479
Sep-20,2호선,26,잠실(송파구청),1270679,1255126,118662,112801
Sep-20,2호선,27,잠실새내,363411,369392,70431,70938
Sep-20,2호선,28,종합운동장,123812,133886,24767,25195
Sep-20,2호선,29,삼성(무역센터),952461,973589,76061,68815
Sep-20,2호선,30,선릉,989990,884721,151019,133504
Sep-20,2호선,31,역삼,888150,986847,109201,109433
Sep-20,2호선,32,강남,1565184,1575148,120841,106900
Sep-20,2호선,33,교대(법원.검찰청),603592,681203,103397,113899
Sep-20,2호선,34,서초,395364,386735,48481,48639
